input_id,role,path,exists,bytes,sha256,modified_at,git_status,governs
LCI-A54FF182C7E8AC,standing repository instructions,AGENTS.md,true,51729,cc048e4413626c4cfc661fa701f517af6c58535f3d955a1b7881ac511a7d7f0d,2026-07-30T17:42:45.217Z, M,report:boundaries | report:maintenance-contract
LCI-D306FBEBE06AC3,country overview document,data/Austria/Overview Austria.docx,true,28890,5ca13fa396f989158292282b03c4ba81a74f7ab7e5c99319c2f8fcc335f125d7,2026-04-16T07:15:07.000Z,clean,report:country-evidence
LCI-CA9B292D855CBF,country overview document,data/Belarus/Overview Belarus.docx,true,24188,941e62b6945cbbbc6c8d327297a6cad69cbbaf4af8963099a49ff71a50924928,2026-04-16T07:12:53.000Z,clean,report:country-evidence
LCI-020E19C15CE570,country overview document,data/Belgium/Overview Belgium.docx,true,23208,8bc8007c3ccd55a11c18a4cb9e8db7263e2094316979f8cfcaabb3c332e8539e,2026-04-15T13:45:34.000Z,clean,report:country-evidence
LCI-A965A0710F8622,country overview document,data/Bosnia and Herzegovina/Overview Bosnia and Herzegovina.docx,true,22783,ccfef4930100724a92cbb6128998f013fd3aa8320e10f9151f7d014efed807c9,2026-04-17T13:21:29.000Z,clean,report:country-evidence
LCI-9FEC3763144790,country overview document,data/Bulgaria/Overview Bulgaria.docx,true,22720,18448fee3efa3c6615ce0be0c2c429acec861197f746ef1c424fc800dae66ad6,2026-04-17T13:20:06.000Z,clean,report:country-evidence
LCI-FDBF38FD964621,live country records,data/countries.js,true,4295802,19e146c39549c10c12cb13b065410b87bc3dded2964e332d8615ff2f83f0c999,2026-07-31T10:06:26.151Z, M,report:country-denominator | report:system-typology
LCI-0A2217E15B0734,country overview document,data/Croatia/Overview Croatia.docx,true,26593,647cb7fe8bd6606e0b101c3bbf2fc85e1093e5b8d4f88c09d8a01e319cfcb1ad,2026-04-16T07:06:58.000Z,clean,report:country-evidence
LCI-03EBE9D32E22BE,country overview document,data/Cyprus/Overview Cyprus.docx,true,25355,9323e636fcea6e03aa9001032cc53c6191bebccbc7d1bd0fa51c451c85fd48b6,2026-04-17T13:19:03.000Z,clean,report:country-evidence
LCI-1E8B99F3555E35,country overview document,data/Czechia/Overview Czechia.docx,true,24464,186131cc7b5e849d7fe79d46e2f3c1d4cadeb56e4f42b722e3796ce021cc5b09,2026-04-17T05:53:16.000Z,clean,report:country-evidence
LCI-18A5DD8CA6F260,country overview document,data/Denmark/Overview Denmark.docx,true,25560,880c1dfd4d83f79fbf1e6215a5761454ffb6bcdd9902fb3bc17a233a5f3154b1,2026-04-09T14:46:02.000Z,clean,report:country-evidence
LCI-25C512606491D8,country overview document,data/Estonia/Overview Estonia.docx,true,24633,a023e42d39c74123b8bade3341aa849a150665753cf54f446fdb38f7fdc52b9f,2026-04-16T07:14:25.000Z,clean,report:country-evidence
LCI-888FE56BE9404F,overview extraction status,data/extraction-status.md,true,5835,dec833f22a0ea92d12ab38b3e72822ab821a9e8488467a988cce340bf16d1b3a,2026-04-30T14:23:16.000Z,clean,report:overview-status
LCI-6D8B854F375DEF,country overview document,data/Finland/Overview Finland.docx,true,25774,919ee1700d81b177718ee2e52bb405fd742dfde67b99b432ca93977a40b0eede,2026-04-09T15:28:07.000Z,clean,report:country-evidence
LCI-C613902A8401EB,country overview document,data/France/Overview France.docx,true,24733,fd3194d086f954155dc1106b6efdc9192e042f2ade8e39f2395d2a226b407280,2026-04-15T13:42:21.000Z,clean,report:country-evidence
LCI-95A9AE5C818E86,country overview document,data/Germany/Overview Germany.docx,true,25406,4f36f0ca8c8903c4e526c671b4dad5f2ddf36361c49a5762813dd56a8365ff79,2026-04-16T07:08:11.000Z,clean,report:country-evidence
LCI-8CD9087C9E9C27,country overview document,data/Greece/Overview Greece.docx,true,27166,4a7235884ca81bc7ff28771d13b2b7372b4ce2e466a16b00c5b055f83abafe93,2026-04-16T07:13:27.000Z,clean,report:country-evidence
LCI-56D73F285C69F9,country overview document,data/Hungary/Overview Hungary.docx,true,24136,e9e0f4306242bb9108202aac7038b9cb4c45ebe97b0142b574b0772aa9734728,2026-04-16T07:09:13.000Z,clean,report:country-evidence
LCI-B54CEEC71266DE,country overview document,data/Iceland/Overview Iceland.docx,true,25403,83c99ad765bc6d15064e579eb6759e73368530343f7f6ccebde432188e56aec6,2026-04-17T13:20:51.000Z,clean,report:country-evidence
LCI-542AAC6AA533D3,country overview document,data/Ireland/Overview Ireland.docx,true,24729,9576404784ce99b34721c7711e4afd6be5dde876938b3d071e139b2d817ce40e,2026-04-15T13:43:27.000Z,clean,report:country-evidence
LCI-0264D10947F9B4,country overview document,data/Italy/Overview Italy.docx,true,24593,5519e8beaf4afe7da0086e622626d79b0e563f46c302e61f3b3e17da651fd898,2026-04-16T08:12:36.000Z,clean,report:country-evidence
LCI-6BD08FF5046661,country overview document,data/Kosovo/Overview Kosovo.docx,true,21652,ac4d8af4ec17723f2a729e2d2030fdbca2e984cf3ce10960772a8240d5afd1ff,2026-04-17T13:16:24.000Z,clean,report:country-evidence
LCI-29263A4CA024C2,country overview document,data/Latvia/Overview Latvia.docx,true,22487,37292eb6e26464965ac63693a4bce1435099e155c664bad3ad725e0ef3c588d5,2026-04-17T05:52:36.000Z,clean,report:country-evidence
LCI-D7F1B8F274982F,member extraction and validation history,data/leru-extraction-log.csv,true,50294,8f9d03a1a6c72c2728e9aa16a5d85e892bc34e2cca486e2285656811ad2b088d,2026-07-31T11:30:00.837Z, M,report:member-validation
LCI-7F4B5DB92E74A4,live 24-member profiles,data/leru-members.js,true,175870,799fee8ff113fedf145d28c857b06b8e61044d9a83c91fd96e9e6b5e400a6fdd,2026-07-31T11:29:05.261Z, M,report:member-denominator | report:member-comparison
LCI-682DBD4B19A82B,country overview document,data/Lithuania/Overview Lithuania.docx,true,23437,390962f3a151fea782705096335d2c81ae84b1b12c42d7f34bf59c69c50f41a9,2026-04-17T05:54:14.000Z,clean,report:country-evidence
LCI-3601A55F9A9E22,country overview document,data/Luxembourg/Overview Luxembourg.docx,true,23519,79a24a48b0b13712367f4ca326eaa383b7e013eaf6257ca7c72eb13424e486b4,2026-04-17T05:57:12.000Z,clean,report:country-evidence
LCI-A0B66B1DECDE50,country overview document,data/Moldova/Overview Moldova.docx,true,21494,10f0e71da47287b3fe7e7764564d1b168ef457e010a77fdf4d96996c791eed91,2026-04-17T05:56:32.000Z,clean,report:country-evidence
LCI-D60E49825D47B2,country overview document,data/Montenegro/Overview Montenegro.docx,true,29825,370f5ce20d24ebd7412ab9231e3498da0f4fc1aa123a7783e7bec07aa8d1ea28,2026-04-17T13:25:43.000Z,clean,report:country-evidence
LCI-6ACE68860FA03D,country overview document,data/Netherlands/Overview Netherlands.docx,true,36891,c61b38db3c99a7d795517955c5f99e7572abf74b5ff0f7fe0504e1f0231a772b,2026-04-09T12:59:44.000Z,clean,report:country-evidence
LCI-33160F8D1793F4,country overview document,data/North Macedonia/Overview North Macedonia.docx,true,23658,fe6ea6efaf23db57d2c0e7381211c3d5e7a43d6fa121359ef6f0c315425491b2,2026-04-17T13:22:15.000Z,clean,report:country-evidence
LCI-506A9697BC0CF8,country overview document,data/Norway/Overview Norway.docx,true,21419,9e05a318e4e72987bfd091fa98a9cc16fb9303e9160f59186f7ae6b1f4dbddaf,2026-04-09T14:45:32.000Z,clean,report:country-evidence
