source_id,title,source_owner,owner_basis,countries,country_ids,institutions,institution_ids,url,source_type,evidence_lanes,effective_evidence_lane,evidence_layers,dependent_claims,report_critical,priority,expected_check_cadence,last_checked,document_date_or_version,version_basis,local_or_registry_location,registry_ids,data_paths,used_for,current_status,review_notes
LRS-001BA8B8F002E1,National Supervisory Authority for Personal Data Processing,dataprotection.ro,URL hostname fallback from source registry; review before publication attribution | URL hostname fallback; review before publication attribution,Romania,romania,,,https://www.dataprotection.ro/,Official authority page,boundary-regime | general-research-integrity,mixed-or-review,country_dossier | source_registry,country:romania:boundary-regimes,true,medium,quarterly when claim-active; otherwise annual,2026-04-23,,not recorded,data/Romania/raw documentation/source notes/Romania deep-dive sources.md | data/source-registry.csv#RO-S038,RO-S038,data/countries.js#COUNTRY_DATA[48].dossierDetails.networkLayers[4].actors[1].documents[0].url | data/countries.js#COUNTRY_DATA[48].dossierDetails.sourceLinks[21].url | data/source-registry.csv#RO-S038,Romania deep dossier,not yet technically audited by this maintenance pipeline,Boundary authority for research-data and privacy issues. | Boundary authority for research-data and privacy questions.
LRS-0037628FDB905E,Ministry of Health,static-0.minzdrav.gov.ru,URL hostname fallback from source registry; review before publication attribution,Russia,,,,https://static-0.minzdrav.gov.ru/system/attachments/attaches/000/029/442/original/%D0%9E%D0%B1_%D1%83%D1%82%D0%B2%D0%B5%D1%80%D0%B6%D0%B4%D0%B5%D0%BD%D0%B8%D0%B8_%D0%9F%D0%BE%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F_%D0%BE_%D0%A1%D0%BE%D0%B2%D0%B5%D1%82%D0%B5_%D0%BF%D0%BE_%D1%8D%D1%82%D0%B8%D0%BA%D0%B5.pdf?1456849157=,PDF,supporting-unclassified,supporting-unclassified,source_registry,,false,supporting,annual or on demand,2026-04-17,,not recorded,data/Russia/Overview Russia.docx | data/source-registry.csv#OV-RU-004,OV-RU-004,data/source-registry.csv#OV-RU-004,Overview country extraction,not yet technically audited by this maintenance pipeline,Embedded hyperlink in country overview document used for app extraction.
LRS-00B6B2637928C3,XIII session of the Ethics Committee,gov.me,URL hostname fallback from source registry; review before publication attribution | URL hostname fallback; review before publication attribution,Montenegro,montenegro,,,https://www.gov.me/clanak/xiii-sjednica-etickog-komiteta,Current national session page,boundary-regime | general-research-integrity,mixed-or-review,country_dossier | source_registry,,true,medium,quarterly when claim-active; otherwise annual,2026-04-23,,not recorded,data/Montenegro/raw documentation/source notes/Montenegro deep-dive sources.md | data/source-registry.csv#ME-S034,ME-S034,data/countries.js#COUNTRY_DATA[46].documents[5].url | data/source-registry.csv#ME-S034,Montenegro committee and case-file pilot,not yet technically audited by this maintenance pipeline,"Current session page showing complaint lifecycle, rejection reasoning and institutional-boundary signals."
LRS-00B87BB64D0E1C,Bosnia and Herzegovina participates in Horizon Europe as an associated country,mcp.gov.ba,URL hostname fallback; review before publication attribution,Bosnia and Herzegovina,bosnia-and-herzegovina,,,https://mcp.gov.ba/en/about-eu-horizon-europe,International programme route,general-research-integrity,general-research-integrity,country_dossier,country:bosnia-and-herzegovina:institutional-routes | country:bosnia-and-herzegovina:source-backbone | country:bosnia-and-herzegovina:system-allocation | country:bosnia-and-herzegovina:timeline,true,medium,quarterly when claim-active; otherwise annual,2026-04-24,2021-2027,explicit source metadata | not recorded,,,data/countries.js#COUNTRY_DATA[40].dossierDetails.integrityCommittees.groups[0].committees[0].links[1].url | data/countries.js#COUNTRY_DATA[40].dossierDetails.networkLayers[4].actors[1].documents[0].url | data/countries.js#COUNTRY_DATA[40].dossierDetails.sourceLinks[5].url | data/countries.js#COUNTRY_DATA[40].dossierDetails.timeline[10].sourceUrl,International research-funding route,not yet technically audited by this maintenance pipeline,
LRS-00C9883A2EF30E,Guidelines for Completing Ethics Self-Assessment for Grant Application 2025,etag.ee,URL hostname fallback from source registry; review before publication attribution | URL hostname fallback; review before publication attribution,Estonia,estonia,,,https://etag.ee/wp-content/uploads/2025/02/Eetika_Tabel_ENG_v1_2025.pdf,PDF,general-research-integrity | supporting-unclassified,general-research-integrity,country_dossier | source_registry,country:estonia:source-backbone | country:estonia:system-allocation,true,medium,quarterly when claim-active; otherwise annual,2026-04-23,2025 | year:2025,explicit source metadata | year in title or URL,data/Estonia/raw documentation/source notes/Estonia deep-dive sources.md | data/source-registry.csv#EE-S009,EE-S009,data/countries.js#COUNTRY_DATA[28].dossierDetails.networkLayers[3].actors[0].documents[0].url | data/countries.js#COUNTRY_DATA[28].dossierDetails.sourceLinks[9].url | data/source-registry.csv#EE-S009,Estonia deep dossier,not yet technically audited by this maintenance pipeline,Best public funder-compliance source for ethics screening in ETAG grant applications. | Best public funder-compliance source for ethics screening in grant applications.
LRS-011F4CFB5D28F2,BAFA export control and academia,bafa.de,URL hostname fallback from source registry; review before publication attribution | URL hostname fallback; review before publication attribution,Germany,germany,,,https://www.bafa.de/EN/Foreign_Trade/Export_Control/Academia/academia_node.html,Official authority page,boundary-regime | general-research-integrity,mixed-or-review,country_dossier | source_registry,,true,medium,quarterly when claim-active; otherwise annual,2026-04-29,,not recorded,data/Germany/raw documentation/source notes/Germany deep-dive sources.md | data/source-registry.csv#DE-S038,DE-S038,data/countries.js#COUNTRY_DATA[29].dossierDetails.networkLayers[4].actors[2].documents[4].url | data/countries.js#COUNTRY_DATA[29].dossierDetails.sourceLinks[57].url | data/source-registry.csv#DE-S038,Germany deep dossier,not yet technically audited by this maintenance pipeline,Authority source for export-control guidance directed to academia and research institutions.
LRS-0137D1A7B3D78A,NCBR Code of Ethics,gov.pl,URL hostname fallback from source registry; review before publication attribution | URL hostname fallback; review before publication attribution,Poland,poland,,,https://www.gov.pl/web/ncbr-en/code-of-ethics-of-the-ncbr,code or standard,general-research-integrity | supporting-unclassified,general-research-integrity,country_dossier | source_registry,country:poland:source-backbone | country:poland:system-allocation,true,medium,quarterly when claim-active; otherwise annual,2026-04-29,,not recorded,data/Poland/raw documentation/source notes/Poland deep-dive sources.md | data/source-registry.csv#PL-S016,PL-S016,data/countries.js#COUNTRY_DATA[33].dossierDetails.networkLayers[2].actors[2].documents[0].url | data/countries.js#COUNTRY_DATA[33].dossierDetails.sourceLinks[27].url | data/source-registry.csv#PL-S016,Poland deep dossier,not yet technically audited by this maintenance pipeline,Public-funds and organizational-ethics layer at NCBR. | Used to place NCBR as an organizational-ethics and public-funds actor rather than the main research-integrity tribunal.
LRS-013A0FAC194D87,Imperial research misconduct page,imperial.ac.uk,URL hostname fallback; review before publication attribution,United Kingdom,united-kingdom,Imperial College London,imperial-college-london,https://www.imperial.ac.uk/research-and-innovation/about-imperial-research/research-integrity-investigations/misconduct,procedure or regulation,general-research-integrity,general-research-integrity,member_profile,member:imperial-college-london:institutional-route,true,high,monthly technical check; quarterly content review,2026-07-15,,not recorded,,,data/leru-members.js#LERU_MEMBER_DATA[12].sourceLinks[0].url,"misconduct definition, route and annual-statement archive",not yet technically audited by this maintenance pipeline,Official route page for allegations and annual research-integrity statements.
LRS-017E6DDB128E88,Regional committees,tukija.fi,URL hostname fallback; review before publication attribution,Finland,finland,,,https://tukija.fi/en/cooperation,Committee list,boundary-regime | general-research-integrity,mixed-or-review,country_dossier,country:finland:boundary-regimes,true,medium,quarterly when claim-active; otherwise annual,2026-04-23,,not recorded,,,data/countries.js#COUNTRY_DATA[2].dossierDetails.integrityCommittees.groups[1].committees[1].documents[2].url | data/countries.js#COUNTRY_DATA[2].dossierDetails.integrityCommittees.groups[1].committees[2].documents[0].url | data/countries.js#COUNTRY_DATA[2].dossierDetails.integrityCommittees.groups[1].committees[2].documents[1].url,,not yet technically audited by this maintenance pipeline,Regional committees are the local statutory ethics review layer for medical research. | Shows the regional medical research ethics committee layer that works beside Tukija. | Tukija works with regional medical research ethics committees and other authorities.
LRS-019B14B9D2B094,Concordat on Openness on Animal Research,concordatopenness.org.uk,URL hostname fallback from source registry; review before publication attribution | URL hostname fallback; review before publication attribution,United Kingdom,united-kingdom,,,https://concordatopenness.org.uk/,Official concordat page,boundary-regime,boundary-regime,country_dossier | source_registry,country:united-kingdom:boundary-regimes,true,medium,quarterly when claim-active; otherwise annual,2026-04-29,,not recorded,data/source-registry.csv#UK-S032 | data/United Kingdom/raw documentation/source notes/United Kingdom deep-dive sources.md,UK-S032,data/countries.js#COUNTRY_DATA[35].dossierDetails.integrityCommittees.groups[4].committees[2].links[3].url | data/countries.js#COUNTRY_DATA[35].dossierDetails.networkLayers[4].actors[1].documents[2].url | data/countries.js#COUNTRY_DATA[35].dossierDetails.sourceLinks[36].url | data/source-registry.csv#UK-S032,Animal-research openness and organisational commitments | United Kingdom overview reconciliation,not yet technically audited by this maintenance pipeline,Voluntary animal-research transparency concordat and signatory list; openness boundary layer rather than misconduct adjudication. | Voluntary openness layer around animal research; not a misconduct adjudication route.
LRS-01C300989D16DD,Research ethics,gu.se,URL hostname fallback from source registry; review before publication attribution | URL hostname fallback; review before publication attribution,Sweden,sweden,,,https://www.gu.se/en/research/research-ethics,Institutional deviation and ethics bodies,boundary-regime,boundary-regime,country_dossier | source_registry,country:sweden:boundary-regimes,true,medium,quarterly when claim-active; otherwise annual,2026-04-23,Updated 31 March 2026,explicit source metadata | not recorded,data/source-registry.csv#SE-S022 | data/Sweden/raw documentation/source notes/Sweden deep-dive sources.md,SE-S022,data/countries.js#COUNTRY_DATA[4].dossierDetails.integrityCommittees.groups[1].committees[3].documents[0].url | data/countries.js#COUNTRY_DATA[4].dossierDetails.sourceLinks[21].url | data/source-registry.csv#SE-S022,Sweden review and relabel,not yet technically audited by this maintenance pipeline,Institutional portal showing both deviation and ethics-support structures. | Names both the Council for Examining Deviations and the Research Board's Committee for Ethics in Research.
