source_id,country,title,url,source_type,raw_documentation_category,accessed,used_for,stored_in,notes
AL-S001,Albania,ASCAL mission and activity,https://mail.ascal.al/en/about-us/mission-and-activity,Website,research integrity offices and bodies,2026-04-16,Initial source map,data/Albania/raw documentation/source notes/initial extraction notes.md,"Used to identify ASCAL role, legal basis, and higher-education quality-assurance function."
AL-S002,Albania,ASCAL Accreditation Board organization,https://www.ascal.al/en/accreditation-board/organization,Website,research integrity offices and bodies,2026-04-16,Initial source map,data/Albania/raw documentation/source notes/initial extraction notes.md,"Used to identify the accreditation board and quality-assurance decision structure."
AL-S003,Albania,University of Tirana legislation page,https://unitir.edu.al/legjislacioni/,Website,law references,2026-04-16,Initial source map,data/Albania/raw documentation/source notes/initial extraction notes.md,"Used to identify Law No. 80/2015, university statute, regulations, and ethics code as candidate sources."
AL-S004,Albania,University of Tirana Code of Ethics,https://unitir.edu.al/kodi-i-etikes-i-universitetit-te-tiranes/,Website,codes of conduct,2026-04-16,Initial source map,data/Albania/raw documentation/source notes/initial extraction notes.md,"Used as first institutional ethics-code source."
AL-S005,Albania,University of Tirana regulations page,https://unitir.edu.al/uni-3/,Website,institutional procedures,2026-04-16,Initial source map,data/Albania/raw documentation/source notes/initial extraction notes.md,"Used to identify institutional regulations, ethics code, and whistleblowing-related material."
"AL-S006","Albania","Law No. 80/2015 on higher education and scientific research","https://qsha.gov.al/wp-content/uploads/2024/01/LAW-No-80.2015-ON-HIGHER-EDUCATION-AND-SCIENTIFIC-RESEARCH-IN-INSTITUTIONS-OF-HIGHER-EDUCATION-IN-THE-REPUBLIC-OF-ALBANIA.pdf","PDF","law references / higher education and scientific research law","2026-04-26","Albania expanded overview and committee-route pass","data/Albania/raw documentation/source notes/initial extraction notes.md","Official English PDF copy used for the HEI research frame, institutional ethics councils, research activity and QA scaffold."
"AL-S007","Albania","NASRI research and publishing ethics regulation","https://nasri.gov.al/dokumenta/RregullorjaKerkimit.pdf","PDF","codes of conduct / research and publishing ethics procedure","2026-04-26","Albania expanded overview and committee-route pass","data/Albania/raw documentation/source notes/initial extraction notes.md","NASRI-hosted regulation on research and publishing ethics; used for complaint-management, ethics-committee, plagiarism, data, authorship, review and conflict-of-interest provisions."
"AL-S008","Albania","NASRI national R&D programmes page","https://nasri.gov.al/programet-kombetare-te-kerkimit-dhe-zhvillimit/","Website","funder requirements / national R&D programme route","2026-04-26","Albania expanded overview and committee-route pass","data/Albania/raw documentation/source notes/initial extraction notes.md","Official AKKSHI/NASRI page for national R&D programme application, evaluation, implementation, reporting and monitoring routes."
"AL-S009","Albania","NASRI AKKSHI legal-basis file","https://nasri.gov.al/wp-content/uploads/2019/04/Tabela-e-AKKSHI-baza-ligjore-15.04.2019.pdf","PDF","national policies and guidance / science agency legal basis","2026-04-26","Albania expanded overview and committee-route pass","data/Albania/raw documentation/source notes/initial extraction notes.md","Legal-basis compilation used for AKKSHI creation, mission, funding, monitoring, evaluation and public-database duties."
"AL-S010","Albania","ASCAL Accreditation Board decisions","https://www.ascal.al/en/accreditation-board/decisions","Website","reports and monitoring / QA decision hub","2026-04-26","Albania expanded overview and committee-route pass","data/Albania/raw documentation/source notes/initial extraction notes.md","Official public Accreditation Board decision corridor; coded as quality-assurance decision material, not a general research-misconduct archive."
"AL-S011","Albania","University of Tirana Ethics Council regulation page","https://unitir.edu.al/rregullore-per-organizimin-dhe-funksionimin-e-keshillit-te-etikes-ne-universitetin-e-tiranes/","Website","institutional procedures / ethics council route","2026-04-26","Albania expanded overview and committee-route pass","data/Albania/raw documentation/source notes/initial extraction notes.md","Official UT page for Senate decision No. 16 of 19 March 2025 approving the Ethics Council regulation and linking the research-ethics approval guide."
"AL-S012","Albania","University of Tirana research page","https://unitir.edu.al/kerkimi-shkencor/","Website","institutional procedures / research project administration","2026-04-26","Albania expanded overview and committee-route pass","data/Albania/raw documentation/source notes/initial extraction notes.md","Official UT research page with project administration, research plan, accreditation and strategic-development links; used as institutional research-governance route evidence."
"AL-S013","Albania","UAMD Ethics Council and permanent committees page","https://uamd.edu.al/keshilli-i-etikes-dhe-komisionet-e-perhershme-institucionale-uamd/","Website","institutional procedures / committee directory","2026-04-26","Albania expanded overview and committee-route pass","data/Albania/raw documentation/source notes/initial extraction notes.md","Official UAMD page identifying the Ethics Council and Institutional Academic Integrity Commission; committee visibility without public decisions located."
