country,id,score,tier,main_body,coverage,public_access,publication_model,format,has_archive,key_note,source_document,source_date
Austria,austria,2,Summary-based,OeAWI / OeAWI Commission,National,Yes,Annual reports with anonymised summaries,PDF reports,No,"Annual-report visibility; no searchable case archive.",data/transparency_research_integrity_europe_overview.docx,2026-04-17
Belgium,belgium,3,Fragmented / subnational,"VCWI (Flanders); no single national body",Subnational / regional (Flanders),Yes,"VCWI yearbooks / advice; no national archive",PDF yearbooks + web,No,"Flanders only; no single Belgian national archive located.",data/transparency_research_integrity_europe_overview.docx,2026-04-17
Bulgaria,bulgaria,1,"Body, no archive",Academic Ethics Committee + institutional committees,National + institutional,Some,"Some public opinions reported; no stable archive",Fragmentary reports,No,"Some public opinions reported; no stable official archive found.",data/transparency_research_integrity_europe_overview.docx,2026-04-17
Croatia,croatia,3,Fragmented / subnational,Committee on Ethics in Science and Higher Education,National,Yes,"Public opinions and reports; fragmented publication",Web + PDF,No,"Public case materials exist, but publication is fragmented.",data/transparency_research_integrity_europe_overview.docx,2026-04-17
Cyprus,cyprus,0,No national publication,No national body located,Institutional,No,Codes / guidance only,Guidance PDFs,No,"Codes/guidance public; no national case-publication route found.",data/transparency_research_integrity_europe_overview.docx,2026-04-17
Czechia,czechia,1,"Body, no archive",CAS Scientific Integrity Committee (academy only),Institutional / academy-specific,Some,"Committee exists; no public case archive",Web / profile,No,"CAS committee exists, but no national open case archive found.",data/transparency_research_integrity_europe_overview.docx,2026-04-17
Denmark,denmark,4,Structured archive,Danish Board on Research Misconduct,National,Yes,Structured board decisions archive,HTML + linked files,Yes,"Statutory board with public decisions archive.",data/transparency_research_integrity_europe_overview.docx,2026-04-17
Estonia,estonia,1,"Body, no archive",Estonian Research Council / transition arrangements,National + institutional,Some,"Framework described; no public case archive",Web / profiles,No,"Framework described; no open case archive found.",data/transparency_research_integrity_europe_overview.docx,2026-04-17
Finland,finland,4,Structured archive,TENK,National,Yes,Structured statement-summary archive,HTML summaries,Yes,"Stable archive of statement summaries.",data/transparency_research_integrity_europe_overview.docx,2026-04-17
France,france,1,"Body, no archive",OFIS + institutional RI officers,National coordination + institutional investigations,Some,"Observatory / guidance; no central case archive",Web + reports,No,"Strong coordination structure; no central case archive found.",data/transparency_research_integrity_europe_overview.docx,2026-04-17
Germany,germany,2,Summary-based,Ombuds Committee for Research Integrity in Germany,National,Yes,"Annual reports / public info; no case database",Web + reports,No,"Annual reports/public info, but no searchable case archive.",data/transparency_research_integrity_europe_overview.docx,2026-04-17
Greece,greece,0,No national publication,No national structure located,Institutional / fragmented,No,No national case-publication mechanism located,Profiles / institutional,No,"No open national committee archive located.",data/transparency_research_integrity_europe_overview.docx,2026-04-17
Hungary,hungary,1,"Body, no archive",HAS Science Ethics Committee,Academy-led / national influence,Some,"Procedures public; no open case archive",Codes / procedures,No,"Procedures public; resolved cases not openly archived.",data/transparency_research_integrity_europe_overview.docx,2026-04-17
Iceland,iceland,1,"Body, no archive",No national body located,Institutional,Some,Institutional codes only,Codes / web,No,"Institutional codes only; no national archive found.",data/transparency_research_integrity_europe_overview.docx,2026-04-17
Ireland,ireland,1,"Body, no archive",National Research Integrity Forum + institutions,National coordination + institutional investigations,Some,"Policy coordination; no central case archive",Policy PDFs,No,"Policy coordination public; no central case archive.",data/transparency_research_integrity_europe_overview.docx,2026-04-17
Italy,italy,3,Fragmented / subnational,CNR Research Ethics and Integrity Committee / RI Unit,Institution-specific (CNR) with broader national relevance,Yes,"Institutional documents (CNR); no national archive",Document archive,No,"Best public material found at CNR, not nationwide.",data/transparency_research_integrity_europe_overview.docx,2026-04-17
Latvia,latvia,0,No national publication,No national body located,Institutional,No,Institutional procedures only,University regs,No,"Institutional rules only; no national public case mechanism located.",data/transparency_research_integrity_europe_overview.docx,2026-04-17
Lithuania,lithuania,4,Structured archive,Ombudsperson for Academic Ethics and Procedures,National,Yes,Structured decisions archive,HTML archive,Yes,"Decisions archive plus privacy guidance.",data/transparency_research_integrity_europe_overview.docx,2026-04-17
Luxembourg,luxembourg,2,Summary-based,LARI / CRI,National,Yes,"Annual reports / public info; no case archive",Web + reports,No,"Annual reporting visible; no searchable case repository.",data/transparency_research_integrity_europe_overview.docx,2026-04-17
Malta,malta,0,No national publication,No national body clearly located,Institutional / policy,No,Guidelines / ethics procedures only,Guidance PDFs,No,"Ethics guidance public; no case archive found.",data/transparency_research_integrity_europe_overview.docx,2026-04-17
Netherlands,netherlands,4,Structured archive,LOWI,National appeal / advisory body,Yes,Structured opinions archive,HTML archive,Yes,"Mature public archive of opinions.",data/transparency_research_integrity_europe_overview.docx,2026-04-17
Norway,norway,4,Structured archive,Granskingsutvalget,National,Yes,Structured statements archive,HTML archive,Yes,"Stable archive of commission statements.",data/transparency_research_integrity_europe_overview.docx,2026-04-17
Poland,poland,2,Summary-based,Committee on Ethics in Science (PAN),National committee / academy-led,Yes,"Public opinions / activity; not structured archive",Web / statements,No,"Public outputs exist, but not a coherent case archive.",data/transparency_research_integrity_europe_overview.docx,2026-04-17
Romania,romania,4,Structured archive,CNECSDTI,National,Yes,Structured decisions and reports archive,HTML + PDFs,Yes,"Formal decisions and historical archives are public.",data/transparency_research_integrity_europe_overview.docx,2026-04-17
Slovakia,slovakia,1,"Body, no archive",No national commission located,Institutional / academy-specific,Some,"Codes / committee structures; no archive",Profile + code,No,"Committee structures public; no national archive found.",data/transparency_research_integrity_europe_overview.docx,2026-04-17
Slovenia,slovenia,0,No national publication,No national structure located,Institutional / fragmented,No,No national public case publication located,Profile,No,"No national public archive located.",data/transparency_research_integrity_europe_overview.docx,2026-04-17
Spain,spain,1,"Body, no archive",CSIC Ethics Committee + institutions,Institutional / council-level,Some,"Advisory structure; no central archive",Web / profiles,No,"Advisory structures public; national case publication limited.",data/transparency_research_integrity_europe_overview.docx,2026-04-17
Sweden,sweden,4,Structured archive,NPOF,National,Yes,Structured decisions archive,HTML archive,Yes,"Clear national decisions archive.",data/transparency_research_integrity_europe_overview.docx,2026-04-17
Switzerland,switzerland,2,Summary-based,SNSF Commission on Research Integrity,National funder / national framework,Yes,Annual reports + occasional case news,PDF + web news,No,"Selective annual reports/news; no stable case database.",data/transparency_research_integrity_europe_overview.docx,2026-04-17
United Kingdom,united-kingdom,2,Summary-based,UKRIO / Concordat decentralized model,UK-wide decentralized / institutional,Yes,Institutional annual statements + synthetic case studies,Web hubs + PDFs,No,"Decentralized institutional publication under Concordat model.",data/transparency_research_integrity_europe_overview.docx,2026-04-17
Germany,germany,3,"Funder case-publication list plus ombuds and institutional annual reports","DFG scientific-misconduct press-release list, DFG misconduct procedure, OWID annual reports, and selected institutional annual reports or ombuds pages","DFG-funded and DFG-handled cases, national ombuds advice and mediation reporting, institutional ombuds/procedure pages, selected university annual reports, and shared institutional routes",Yes,"Stable DFG press-release list for selected funder-jurisdiction cases, OWID aggregate annual reporting, and scattered institutional annual-report or procedure evidence rather than a consolidated national decision database","Web, curated press-release list, individual press releases, annual-report PDFs, procedure pages",No,"Germany has a public case-publication ladder rather than a national database; none of the public lanes covers all German institutional or research-organization decisions.",data/Germany/raw documentation/source notes/Germany deep-dive sources.md,2026-04-23
